nom,localisation,annee_focalisation,superficie_en_hc,investissements_en_dt,realisations
شركة الدار البيضاء,حفوز,1993,1164,981.0,981.0
شركة العهد الجديد,الوسلاتية,1993,542,363.265,307.05
شركة الفجيج,نصر الله,1994,1557,,
شركة توسالكو,نصر الله,1995,2724,,
شركة الخضراء,الخضراء,2004,197,703.859,530.0
شركة سيدي منصور 1,نصر الله,2004,550,,950.778
شركة سيدي منصور 2,نصر الله,2004,820,938.165,917.365
شركة سيدي منصور 3,نصر الله,2004,310,968.774,433.802
فرنيز,السبيخة,2006,566,254.985,221.745
سيدي سعد 1,نصر الله,2006,1460,958.142,890.283
سيدي سعد 2,نصر الله,2006,2740,959.382,270.488
