societe,nature_du_produit,quantite_kilos
المتوسطية,قشريات مجمدة,454.0
المتوسطية,رخويات مثلجة,126.0
المتوسطية,رخويات مجمدة,1637.3
المتوسطية,أسماك مثلجة,1889.0
المتوسطية,أسماك مجمدة,2110.2
أزابسكا,قشريات مجمدة,36268.0
أزابسكا,رخويات مجمدة,23364.0
فيشر,أسماك مثلجة,834.0
سليماكس,أسماك مثلجة,5943.0
ديدون ماري,رخويات مثلجة,60.0
ديدون ماري,رخويات حية,195.0
ديدون ماري,أسماك مثلجة,545.8
ديدون ماري,أسماك مجمدة,2424.3
ديدون ماري,تربية مائية,1890.0
ماديترنيان باسكا,نصف مصبرات سمك أزرق,12050.0
موليس دوس,رخويات حية,8939.5
