annee,nom,delegation,capacite_t_jour,capacite_stockage_t,systeme_conversion,feuille
2024,Karim_saidan_chbeda,Fouchana,250,500,continu,Feuil1
2024,Mohamed_limem,Fouchana,50,100,continu,Feuil1
2024,Ezaitouna_dahabia,Fouchana,200,620,continu,Feuil1
2024,Societé_salem,Nassen,60,115,continu,Feuil1
2024,Zait_elmalaki,Nassen,80,2600,continu,Feuil1
2024,Kais_jbali_resala,Morneg,80,65,continu,Feuil1
2024,El-jazira,Morneg,100,3200,continu,Feuil1
2024,Elnaher-dahabi,Morneg,120,800,continu,Feuil1
2024,Raouf_ben_chaiben,Boumhel,30,50,continu,Feuil1
2025,Karim_saidan_chbeda,Fouchana,250,500,continu,Feuil1
2025,Mohamed_limem,Fouchana,60,110,continu,Feuil1
2025,Ezaitouna_dahabia,Fouchana,250,620,continu,Feuil1
2025,Societé_salem,Nassen,60,155,continu,Feuil1
2025,Zait_elmalaki,Nassen,80,2600,continu,Feuil1
2025,Kais_jbali_resala,Morneg,80,65,continu,Feuil1
2025,El-jazira,Morneg,120,800,continu,Feuil1
2025,Elnaher-dahabi,Morneg,250,3500,continu,Feuil1
2025,Raouf_ben_chaiben,Boumhel,30,50,continu,Feuil1
