annee,delegation,effectif_camelides,effectif_caprins,effectif_ovins,effectif_bovins,feuille
2022,NABEUL,3,750,3600,900,Feuil1
2022,DAR CHAABANE EL FEHRI,,360,2800,1000,Feuil1
2022,BENI KHIAR,2,300,4400,2400,Feuil1
2022,KORBA,5,1000,8600,5000,Feuil1
2022,MENZEL TEMIME,,1800,14600,5000,Feuil1
2022,EL MIDA,,1350,12700,2500,Feuil1
2022,KELIBIA,15,540,9000,2000,Feuil1
2022,HAMMAM EL GUEZAZ,,2250,5400,2500,Feuil1
2022,EL HAOUARIA,4,2600,10000,5700,Feuil1
2022,TAKILSA,,1000,7200,1800,Feuil1
2022,SOLIMAN,,1100,5400,1500,Feuil1
2022,MENZEL BOUZELFA,,1800,9500,1500,Feuil1
2022,BENI KHALLED,,800,5400,1000,Feuil1
2022,GROMBALIA,,1000,13000,1200,Feuil1
2022,BOUARGOUB,3,900,7200,1500,Feuil1
2022,HAMMAMET,90,8100,12600,500,Feuil1
2023,NABEUL,3,850,3200,700,Feuil1
2023,DAR CHAABANE EL FEHRI,,450,3300,720,Feuil1
2023,BENI KHIAR,2,300,4500,2730,Feuil1
2023,KORBA,5,1200,10200,3800,Feuil1
2023,MENZEL TEMIME,,1600,16200,3000,Feuil1
2023,EL MIDA,,900,9300,2675,Feuil1
2023,KELIBIA,15,600,8500,1730,Feuil1
2023,HAMMAM EL GUEZAZ,,1700,6200,2650,Feuil1
2023,EL HAOUARIA,4,1200,13500,5000,Feuil1
2023,TAKILSA,,1600,9000,1500,Feuil1
2023,SOLIMAN,,1300,4000,800,Feuil1
2023,MENZEL BOUZELFA,,1500,8500,1000,Feuil1
2023,BENI KHALLED,,950,6000,600,Feuil1
2023,GROMBALIA,,900,9400,1125,Feuil1
2023,BOUARGOUB,3,450,4000,1300,Feuil1
2023,HAMMAMET,90,7500,14200,670,Feuil1
2024,NABEUL,3,380,3195,650,Feuil1
2024,DAR CHAABANE EL FEHRI,,430,3290,720,Feuil1
2024,BENI KHIAR,2,1500,4485,2730,Feuil1
2024,KORBA,4,800,10190,3800,Feuil1
2024,MENZEL TEMIME,,175,9300,2675,Feuil1
2024,EL MIDA,,2000,16000,4300,Feuil1
2024,KELIBIA,13,310,8000,1830,Feuil1
2024,HAMMAM EL GUEZAZ,,175,6000,2650,Feuil1
2024,EL HAOUARIA,4,600,13200,6000,Feuil1
2024,TAKILSA,,1900,9000,700,Feuil1
2024,SOLIMAN,,600,4000,680,Feuil1
2024,MENZEL BOUZELFA,2,1700,8400,1200,Feuil1
2024,BENI KHALLED,,500,5840,600,Feuil1
2024,GROMBALIA,,2100,9400,550,Feuil1
2024,BOUARGOUB,2,330,3500,720,Feuil1
2024,HAMMAMET,73,4300,14200,195,Feuil1
