_id,Annee,Delegation,Superficie (ha),Production (ha)
1,2020,Carthage,,
2,2020,Medina,,
3,2020,Beb Bhar,,
4,2020,Beb Souika,,
5,2020,Omrane,,
6,2020,Omrane Supérieur,,
7,2020,Ettahrir,,
8,2020, Menzah,,
9,2020,Cité Khadhra,,
10,2020,Bardo,,
11,2020,Sejoumi,,
12,2020,Ezzouhour,,
13,2020,Hrairia,,
14,2020,Sidi Hassine,2,2.4
15,2020,Ouardia,,
16,2020,Kabaria,,
17,2020,Sidi El Bechir,,
18,2020,Jebel Jelloud,,
19,2020,La Goulette,,
20,2020,Kram,,
21,2020,La marsa,,
22,2020,TOTAL   ,2,2.4
23,2021,Carthage,,
24,2021,Medina,,
25,2021,Beb Bhar,,
26,2021,Beb Souika,,
27,2021,Omrane,,
28,2021,Omrane Supérieur,,
29,2021,Ettahrir,,
30,2021, Menzah,,
31,2021,Cité Khadhra,,
32,2021,Bardo,,
33,2021,Sejoumi,,
34,2021,Ezzouhour,,
35,2021,Hrairia,,
36,2021,Sidi Hassine,0,0
37,2021,Ouardia,,
38,2021,Kabaria,,
39,2021,Sidi El Bechir,,
40,2021,Jebel Jelloud,,
41,2021,La Goulette,,
42,2021,Kram,,
43,2021,La marsa,,
44,2021,TOTAL   ,0,0
45,2022,Carthage,,
46,2022,Medina,,
47,2022,Beb Bhar,,
48,2022,Beb Souika,,
49,2022,Omrane,,
50,2022,Omrane Supérieur,,
51,2022,Ettahrir,,
52,2022, Menzah,,
53,2022,Cité Khadhra,,
54,2022,Bardo,,
55,2022,Sejoumi,,
56,2022,Ezzouhour,,
57,2022,Hrairia,,
58,2022,Sidi Hassine,8,12.8
59,2022,Ouardia,,
60,2022,Kabaria,,
61,2022,Sidi El Bechir,,
62,2022,Jebel Jelloud,,
63,2022,La Goulette,,
64,2022,Kram,,
65,2022,La marsa,,
66,2022,TOTAL   ,8,12.8
67,2023,Carthage,,
68,2023,Medina,,
69,2023,Beb Bhar,,
70,2023,Beb Souika,,
71,2023,Omrane,,
72,2023,Omrane Supérieur,,
73,2023,Ettahrir,,
74,2023, Menzah,,
75,2023,Cité Khadhra,,
76,2023,Bardo,,
77,2023,Sejoumi,,
78,2023,Ezzouhour,,
79,2023,Hrairia,,
80,2023,Sidi Hassine,0,0
81,2023,Ouardia,,
82,2023,Kabaria,,
83,2023,Sidi El Bechir,,
84,2023,Jebel Jelloud,,
85,2023,La Goulette,,
86,2023,Kram,,
87,2023,La marsa,,
88,2023,TOTAL   ,0,0
89,2024,Carthage,,
90,2024,Medina,,
91,2024,Beb Bhar,,
92,2024,Beb Souika,,
93,2024,Omrane,,
94,2024,Omrane Supérieur,,
95,2024,Ettahrir,,
96,2024, Menzah,,
97,2024,Cité Khadhra,,
98,2024,Bardo,,
99,2024,Sejoumi,,
100,2024,Ezzouhour,,
101,2024,Hrairia,,
102,2024,Sidi Hassine,0,0
103,2024,Ouardia,,
104,2024,Kabaria,,
105,2024,Sidi El Bechir,,
106,2024,Jebel Jelloud,,
107,2024,La Goulette,,
108,2024,Kram,,
109,2024,La marsa,,
110,2024,TOTAL   ,0,0
