annee,delegation,bovins_femelle_productive,ovins_femelle_productive,caprins_femelle_productive,feuille
2021,زغوان,1415,35500,5150,Agric13
2021,الزريبة,1215,26100,10400,Agric13
2021,بئر مشارقة,2830,27350,3550,Agric13
2021,الفحص,3180,49250,5950,Agric13
2021,الناظور,815,31250,2550,Agric13
2021,صواف,695,26550,5900,Agric13
2021,المجموع,10150,196000,33500,Agric13
2022,زغوان,1380,35650,5150,Agric13
2022,الزريبة,1190,26250,10500,Agric13
2022,بئر مشارقة,2750,27500,3550,Agric13
2022,الفحص,3100,49500,6000,Agric13
2022,الناظور,800,31400,2550,Agric13
2022,صواف,680,26700,5900,Agric13
2022,المجموع,9900,197000,33650,Agric13
2023,زغوان,1330,35300,5150,Agric13
2023,الزريبة,1130,26000,10450,Agric13
2023,بئر مشارقة,2640,27200,3550,Agric13
2023,الفحص,2970,49000,5950,Agric13
2023,الناظور,770,31100,2550,Agric13
2023,صواف,660,26400,5850,Agric13
2023,المجموع,9500,195000,33500,Agric13
2024,زغوان,940,34240,5405,Agric13
2024,الزريبة,795,25220,10970,Agric13
2024,بئر مشارقة,1860,26385,3730,Agric13
2024,الفحص,2095,47530,6250,Agric13
2024,الناظور,545,30165,2675,Agric13
2024,صواف,465,25610,6140,Agric13
2024,المجموع,6700,189150,35170,Agric13
